Bloco,Layout Descritivo
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C108|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C109|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C110|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C111|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C112|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C113|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C114|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C115|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C116|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C117|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C118|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C119|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C120|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C121|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C122|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C123|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C124|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C125|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C126|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C127|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C128|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C129|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C130|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C131|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C132|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C133|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C134|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C135|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C136|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C137|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C138|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C139|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C140|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C141|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C142|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C143|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C144|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C145|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C146|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C147|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C148|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C149|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C150|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C151|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C152|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C153|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C154|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C155|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C156|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C157|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C158|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C159|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C160|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C161|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C162|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C163|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C164|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C165|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C166|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C167|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C168|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C169|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C170|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C171|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C172|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C173|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C174|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C175|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C176|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C177|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C178|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C179|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C180|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C181|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C182|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C183|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C184|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C185|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C186|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C187|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C188|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C189|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C190|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C191|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C192|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C193|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C194|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C195|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C196|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C197|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C198|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C199|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C200|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C201|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C202|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C203|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C204|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C205|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C206|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C207|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
Bloco C – Documentos Fiscais I – Mercadorias (ICMS/IPI),|C208|CAMPO1|CAMPO2|CAMPO3|CAMPO4|CAMPO5|CAMPO6|CAMPO7|CAMPO8|CAMPO9|CAMPO10||
